date;ws;wd;SO2_1h_ppb;SO2_1h_ugm3
1/1/2018 0:00:00;;;;
1/1/2018 1:00:00;1;263.5;16.5;43.1
1/1/2018 2:00:00;0.7;275.1;48.3;126.4
1/1/2018 3:00:00;0.8;270.4;32.2;84.4
1/1/2018 4:00:00;0.9;266;4.9;12.7
1/1/2018 5:00:00;0.5;274.4;5.2;13.6
1/1/2018 6:00:00;0.7;270.9;13;34
1/1/2018 7:00:00;0.6;272.9;14.7;38.6
1/1/2018 8:00:00;0.3;240.5;453.3;1186.6
1/1/2018 9:00:00;0.6;159;522.8;1368.7
1/1/2018 10:00:00;0.8;167.2;511.8;1339.9
1/1/2018 11:00:00;1;91.4;106.8;279.6
1/1/2018 12:00:00;0.8;136.9;106.4;278.6
1/1/2018 13:00:00;0.7;250.1;113;295.7
1/1/2018 14:00:00;1.7;64.2;9.4;24.7
1/1/2018 15:00:00;2;74.7;5.1;13.2
1/1/2018 16:00:00;2.2;64.8;4.1;10.6
1/1/2018 17:00:00;1.4;313.1;23.2;60.8
1/1/2018 18:00:00;1.2;275.5;18;47.2
1/1/2018 19:00:00;1.4;204.2;190.9;499.7
1/1/2018 20:00:00;0.5;207;36.4;95.3
1/1/2018 21:00:00;0.4;185.8;74.7;195.6
1/1/2018 22:00:00;0.4;158.7;57.4;150.4
1/1/2018 23:00:00;0.5;146.4;17.3;45.2
1/2/2018 0:00:00;0.4;101.9;15.3;40.2
1/2/2018 1:00:00;0.3;194.6;20.5;53.6
1/2/2018 2:00:00;0.7;254.7;6.1;16
1/2/2018 3:00:00;0.9;274.8;4.7;12.2
1/2/2018 4:00:00;1;267.1;4.4;11.6
1/2/2018 5:00:00;0.5;276.8;10.6;27.8
1/2/2018 6:00:00;0.7;273.6;7.6;19.8
1/2/2018 7:00:00;0.6;280.2;39.8;104.3
1/2/2018 8:00:00;0.4;275.9;382.3;1000.9
1/2/2018 9:00:00;0.5;167.5;363.3;951
1/2/2018 10:00:00;0.8;215.4;117.1;306.6
1/2/2018 11:00:00;0.9;278.9;60.9;159.4
1/2/2018 12:00:00;1;9.8;81.3;212.8
1/2/2018 13:00:00;1.3;97.1;68.1;178.4
1/2/2018 14:00:00;1.7;45.5;8.7;22.8
1/2/2018 15:00:00;2.2;330.8;12.2;32.1
1/2/2018 16:00:00;0.6;49;47.1;123.4
1/2/2018 17:00:00;1.6;20.8;5.1;13.3
1/2/2018 18:00:00;1.1;320.6;4.2;11
1/2/2018 19:00:00;1.7;267.4;3.4;8.9
1/2/2018 20:00:00;0.9;261;3.8;10
1/2/2018 21:00:00;0.3;269.6;16.6;43.5
1/2/2018 22:00:00;0.5;286.8;43.7;114.5
1/2/2018 23:00:00;0.8;286.7;6;15.8
1/3/2018 0:00:00;1.2;278.7;4.1;10.7
1/3/2018 1:00:00;1.1;263.8;4.2;10.9
1/3/2018 2:00:00;0.7;273.7;4.4;11.4
1/3/2018 3:00:00;1;275.1;3.7;9.8
1/3/2018 4:00:00;1.3;270.2;3.7;9.6
1/3/2018 5:00:00;0.9;280.2;3.4;8.9
1/3/2018 6:00:00;1;259.5;3.5;9.2
1/3/2018 7:00:00;0.8;281.2;3.6;9.5
1/3/2018 8:00:00;0.6;277.7;4.5;11.9
1/3/2018 9:00:00;0.5;270.8;5.9;15.4
1/3/2018 10:00:00;0.7;191.1;329.6;862.7
1/3/2018 11:00:00;1.5;148.5;201.9;528.6
1/3/2018 12:00:00;1.4;148.4;85.3;223.2
1/3/2018 13:00:00;1.3;103.9;33.8;88.6
